Temp,Loading,Ave Eng,Accept Rate,Vint1,Vint2,Vint3,Vint4,Vint5,Vint6,Vint7,runtime,,Grad 1,,Grad 2
0,0,0,0,0,0,0,0,0,0,0,0,,0,,0
303,1,-0.79894,1,0,0,0,0,0,0,0,2.885923147,,-0.79894,,-0.79894
303,2,-1.5969861,0.8896,0.000306231,0.000193867,0.000181774,0.000364692,0.00041931,0.000140041,-0.000712014,2.828024387,,-0.7980461,,0.0008939
303,3,-2.394462896,0.8055,0.000743705,0.00061795,0.000567841,0.001104569,0.001270119,0.000386267,-0.002333348,2.844334364,,-0.797476796,,0.000569304
303,4,-3.189875642,0.7466,0.001774892,0.001241959,0.001240243,0.002361312,0.00263958,0.000699436,-0.004073064,2.817968607,,-0.795412746,,0.002064049
303,5,-3.985303881,0.6871,0.002893574,0.002372848,0.002041334,0.003759733,0.004397269,0.001331161,-0.0073998,2.939480066,,-0.79542824,,-1.54936E-05
303,6,-4.777799698,0.6393,0.005224682,0.003307851,0.003727163,0.005735364,0.006709568,0.002002897,-0.010867223,2.997678041,,-0.792495816,,0.002932424
303,7,-5.568384933,0.5916,0.006862083,0.005739262,0.004825848,0.008258033,0.009634987,0.002902392,-0.014027537,3.009982824,,-0.790585235,,0.001910581
303,8,-6.358253577,0.5599,0.009180692,0.007239709,0.006933135,0.011326426,0.013155849,0.003910381,-0.01847977,2.935253143,,-0.789868645,,0.00071659
303,9,-7.142660471,0.538,0.013717916,0.010119438,0.008977686,0.015690918,0.016885148,0.005426211,-0.023017787,3.563942432,,-0.784406894,,0.005461751
303,10,-7.931213848,0.5018,0.017373943,0.013118313,0.012362214,0.017749195,0.021566426,0.006521149,-0.030505088,3.547144413,,-0.788553377,,-0.004146483
303,11,-8.711808296,0.4796,0.021804924,0.017629753,0.01450489,0.023878112,0.02659327,0.007378324,-0.035257568,3.614366531,,-0.780594448,,0.007958928
303,12,-9.489793192,0.4717,0.029854434,0.021256676,0.017741425,0.027374165,0.032920096,0.008933396,-0.040593385,3.541463614,,-0.777984896,,0.002609552
303,13,-10.26122778,0.4555,0.036610274,0.025653007,0.023710999,0.03561252,0.038125512,0.01060004,-0.045320129,4.180910826,,-0.771434585,,0.006550311
303,14,-11.03403594,0.4179,0.045947206,0.032351505,0.028049437,0.040764116,0.044760116,0.01322235,-0.053970672,4.467742205,,-0.772808165,,-0.00137358
303,15,-11.80443198,0.4164,0.053884223,0.036255092,0.03332248,0.049696434,0.050690792,0.016235544,-0.060416545,4.035486937,,-0.770396037,,0.002412128
303,16,-12.57231839,0.3932,0.064583572,0.044399513,0.037030339,0.05912594,0.058065893,0.017060402,-0.069544051,4.360109568,,-0.767886412,,0.002509625
303,17,-13.34238824,0.3775,0.07022073,0.054080731,0.04774533,0.064819326,0.063488278,0.020218254,-0.080980886,4.253749371,,-0.770069846,,-0.002183434
303,18,-14.09889235,0.365,0.083438676,0.063210641,0.049479418,0.077029933,0.073095229,0.022738995,-0.086965236,4.312793493,,-0.756504107,,0.013565739
303,19,-14.84316634,0.3708,0.107349722,0.072023498,0.059975637,0.087361984,0.078554181,0.027078733,-0.095650093,4.419582129,,-0.744273993,,0.012230114
303,20,-15.60853645,0.3373,0.115580471,0.076904496,0.068839111,0.090690122,0.093261111,0.029868784,-0.104880541,4.369804621,,-0.765370107,,-0.021096114
303,21,-16.340324,0.3364,0.141160165,0.089717873,0.076573337,0.105374859,0.101626588,0.030889084,-0.107925903,4.399847746,,-0.731787551,,0.033582557
303,22,-17.09212107,0.3362,0.151309548,0.102779641,0.08900633,0.121439652,0.107044706,0.033693755,-0.120714707,4.377982378,,-0.751797077,,-0.020009527
303,23,-17.83125689,0.3255,0.165821166,0.119866164,0.098012971,0.140419353,0.11309118,0.038303572,-0.13115129,4.476453543,,-0.739135811,,0.012661267
303,24,-18.58174787,0.2989,0.186582403,0.127017018,0.105861408,0.145111804,0.130736327,0.041858464,-0.144355292,4.460529566,,-0.750490983,,-0.011355172
303,25,-19.31114916,0.299,0.209187279,0.1367568,0.119330349,0.159256063,0.144235303,0.045475681,-0.151890632,4.354161263,,-0.729401288,,0.021089695
303,26,-20.02106808,0.2992,0.258796762,0.145805932,0.127304259,0.177390939,0.152740347,0.048984405,-0.159650728,4.40360117,,-0.709918928,,0.019482361
303,27,-20.75674814,0.2882,0.254728259,0.171711369,0.145854818,0.202144048,0.15656655,0.056411205,-0.172784387,4.316464663,,-0.735680053,,-0.025761125
303,28,-21.46525983,0.2936,0.304062759,0.181972168,0.155416431,0.207803326,0.174384785,0.061524247,-0.180103549,4.38340497,,-0.708511696,,0.027168357
303,29,-22.19168844,0.2841,0.311974778,0.206132805,0.173368585,0.238105518,0.178530346,0.06363179,-0.194172262,4.98636055,,-0.726428607,,-0.017916911
303,30,-22.92678377,0.2644,0.326330155,0.220442591,0.193925089,0.2565513,0.18432633,0.076107766,-0.216267005,5.068846941,,-0.735095333,,-0.008666726
303,31,-23.63035829,0.2594,0.373477287,0.238072344,0.206600982,0.270338738,0.197293856,0.078762393,-0.227763889,5.238728523,,-0.703574514,,0.031520819
303,32,-24.34161671,0.2435,0.410068812,0.257669036,0.218382486,0.282851068,0.216536403,0.080163575,-0.241208088,5.298311234,,-0.711258421,,-0.007683907
303,33,-25.02483948,0.2536,0.439504522,0.280723017,0.230937733,0.33289514,0.217665127,0.087948172,-0.249493188,5.027323484,,-0.683222768,,0.028035653
303,34,-25.71767511,0.2386,0.497219762,0.295402361,0.252531794,0.342552906,0.2304876,0.095087194,-0.266996726,5.091709852,,-0.692835631,,-0.009612864
303,35,-26.42751003,0.2262,0.507644128,0.323563519,0.270012624,0.363670907,0.244777658,0.100874281,-0.275153148,4.837279558,,-0.709834924,,-0.016999293
303,36,-27.07325736,0.2435,0.610637865,0.330738606,0.275230974,0.382720135,0.269064114,0.104716949,-0.284526,4.869277716,,-0.645747325,,0.0640876
303,37,-27.82399183,0.2191,0.56039092,0.378809469,0.314638848,0.451373969,0.23558697,0.126130939,-0.330142944,4.319222212,,-0.750734472,,-0.104987148
303,38,-28.5181127,0.2067,0.581814618,0.406348637,0.334942798,0.485971125,0.244667955,0.136752524,-0.348890363,4.451254845,,-0.694120875,,0.056613597
303,39,-29.12763557,0.2228,0.736823941,0.403230615,0.333429091,0.485403099,0.286691587,0.134276411,-0.348830313,4.432667971,,-0.609522866,,0.08459801
303,40,-29.87719979,0.1928,0.663628392,0.454720398,0.372861094,0.542022113,0.276577563,0.144761803,-0.374171154,4.4770329,,-0.749564222,,-0.140041356
303,41,-30.53569523,0.1926,0.746254617,0.476968621,0.382295626,0.573662382,0.285665862,0.157741774,-0.401744116,4.456713676,,-0.658495443,,0.091068779
303,42,-31.20687324,0.189,0.774784132,0.506133442,0.413697418,0.618557482,0.286310673,0.167293813,-0.418170197,4.499990702,,-0.671178001,,-0.012682559
303,43,-31.85849182,0.1847,0.853798077,0.533266702,0.424804912,0.635552369,0.307814325,0.177002053,-0.436310258,4.507409573,,-0.651618585,,0.019559416
303,44,-32.53797074,0.1818,0.881165163,0.561520754,0.457532203,0.691173073,0.300459945,0.195478256,-0.471940132,4.415912628,,-0.679478918,,-0.027860332
303,45,-33.35806379,0.1452,0.70000743,0.655521869,0.520610861,0.817616082,0.220452807,0.235475403,-0.55544824,5.299856424,,-0.82009305,,-0.140614132
303,46,-34.12091236,0.1133,0.583352024,0.713861609,0.57631884,0.909774153,0.184947982,0.262107081,-0.600034051,5.479603767,,-0.762848573,,0.057244477
303,47,-34.63192464,0.1319,0.841786308,0.694935373,0.560549578,0.869376041,0.274783916,0.242105045,-0.565280898,5.554558992,,-0.511012276,,0.251836296
303,48,-35.51875496,0.0899,0.573746358,0.805849338,0.641553043,1.035773761,0.15820966,0.302827517,-0.687594634,5.495071173,,-0.886830318,,-0.375818042
303,49,-36.06124951,0.0984,0.769453207,0.805734229,0.642518213,1.035121777,0.21335562,0.297768337,-0.677140893,3.900876522,,-0.542494555,,0.344335763
303,50,-36.74859333,0.0884,0.769665694,0.854778465,0.683449446,1.102112198,0.192873427,0.321562258,-0.726034819,3.552809477,,,,
